Method,Model,Category,Precision,Recall,F1,LabelThreshold,HistThreshold
model,juvenile,juvenile,0.934,0.77,0.844107981221,0.03,0.7
graph,juvenile,juvenile,0.983,0.797,0.880282022472,0.03,0.7
model,mature,mature,0.933,0.189,0.314326203209,0.75,0.3
graph,mature,mature,0.933,0.189,0.314326203209,0.75,0.3
model,mature,juvenile,0.75,0.203,0.319517313746,0.75,0.3
graph,mature,juvenile,0.75,0.203,0.319517313746,0.75,0.3
model,juvenile,mature,0.75,0.203,0.319517313746,0.75,0.3
graph,juvenile,mature,0.737,0.189,0.300848812095,0.75,0.3
model,juvenile,juvenile,0.879,0.392,0.542199842644,0.75,0.3
graph,juvenile,juvenile,0.867,0.351,0.499699507389,0.75,0.3
model,mature,mature,0.743,0.351,0.476769652651,0.20,0.9
graph,mature,mature,0.7,0.284,0.40406504065,0.20,0.9
model,mature,juvenile,0.804,0.608,0.692396600567,0.20,0.9
graph,mature,juvenile,0.759,0.554,0.640496572734,0.20,0.9
model,juvenile,mature,0.667,0.27,0.38439701174,0.20,0.9
graph,juvenile,mature,0.667,0.27,0.38439701174,0.20,0.9
model,juvenile,juvenile,0.929,0.703,0.800351715686,0.20,0.9
graph,juvenile,juvenile,0.945,0.703,0.806231796117,0.20,0.9
model,mature,mature,0.727,0.324,0.448235965747,0.24,0.9
graph,mature,mature,0.704,0.257,0.376541103018,0.24,0.9
model,mature,juvenile,0.788,0.554,0.650599105812,0.24,0.9
graph,mature,juvenile,0.755,0.5,0.601593625498,0.24,0.9
model,juvenile,mature,0.667,0.27,0.38439701174,0.24,0.9
graph,juvenile,mature,0.607,0.23,0.333596176822,0.24,0.9
model,juvenile,juvenile,0.944,0.689,0.796590324556,0.24,0.9
graph,juvenile,juvenile,0.959,0.635,0.764071518193,0.24,0.9
model,mature,mature,0.829,0.459,0.590855590062,0.18,0.3
graph,mature,mature,0.763,0.392,0.517915151515,0.18,0.3
model,mature,juvenile,0.734,0.635,0.680920379839,0.18,0.3
graph,mature,juvenile,0.717,0.581,0.641875192604,0.18,0.3
model,juvenile,mature,0.677,0.284,0.400141519251,0.18,0.3
graph,juvenile,mature,0.7,0.284,0.40406504065,0.18,0.3
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.18,0.3
graph,juvenile,juvenile,0.982,0.73,0.837453271028,0.18,0.3
model,mature,mature,0.727,0.216,0.333047720042,0.45,0.9
graph,mature,mature,0.727,0.216,0.333047720042,0.45,0.9
model,mature,juvenile,0.737,0.378,0.499705829596,0.45,0.9
graph,mature,juvenile,0.711,0.365,0.482369888476,0.45,0.9
model,juvenile,mature,0.773,0.23,0.354516450648,0.45,0.9
graph,juvenile,mature,0.737,0.189,0.300848812095,0.45,0.9
model,juvenile,juvenile,0.936,0.595,0.727524493795,0.45,0.9
graph,juvenile,juvenile,0.927,0.514,0.661315752949,0.45,0.9
model,mature,mature,0.735,0.338,0.463056849953,0.23,0.5
graph,mature,mature,0.704,0.257,0.376541103018,0.23,0.5
model,mature,juvenile,0.788,0.554,0.650599105812,0.23,0.5
graph,mature,juvenile,0.755,0.5,0.601593625498,0.23,0.5
model,juvenile,mature,0.677,0.284,0.400141519251,0.23,0.5
graph,juvenile,mature,0.621,0.243,0.3493125,0.23,0.5
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.23,0.5
graph,juvenile,juvenile,0.964,0.716,0.821695238095,0.23,0.5
model,mature,mature,0.829,0.459,0.590855590062,0.14,0.3
graph,mature,mature,0.756,0.459,0.5712,0.14,0.3
model,mature,juvenile,0.725,0.676,0.699643112063,0.14,0.3
graph,mature,juvenile,0.698,0.595,0.642397525135,0.14,0.3
model,juvenile,mature,0.677,0.284,0.400141519251,0.14,0.3
